#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
AC002504.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.1	0	0	41	1	44	0	21	1	2	0	0	0	40	37
AC002519.2	4	9	10	15	4	2	4	2	2	0	1	0	6	5
AC002524.1	82	99	52	93	82	71	102	88	46	65	45	59	47	68
AC002525.1	0	0	40	0	0	0	1	0	2	0	0	0	56	1
AC002529.1	0	0	1	0	0	0	0	0	4	0	0	0	8	0
AC002540.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.6	0	0	1	0	6	3	7	1	2	0	0	0	0	2
AC002543.1	4	0	11	11	8	5	1	4	17	15	0	21	19	31
AC002543.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002545.1	0	0	0	0	0	0	0	4	0	2	0	3	0	0
AC002546.1	7	0	0	0	0	0	0	0	0	0	0	0	1	1
AC002550.1	15	0	0	0	0	0	8	6	7	5	0	0	0	3
AC002550.2	15	0	43	87	26	63	45	35	68	21	55	65	0	31
AC002551.1	9	0	14	0	7	4	7	9	5	1	0	3	24	0
AC002553.1	0	1	5	20	0	1	3	9	9	4	11	9	12	26
AC002553.2	46	0	8	0	15	41	5	0	10	10	0	10	8	10
AC002558.1	9	9	9	5	19	17	35	19	13	11	26	6	8	20
AC002558.2	7	0	20	0	1	6	22	20	4	11	18	7	53	6
AC002558.3	102	15	23	54	76	17	66	17	72	37	97	75	141	64
AC002563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC002980.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.1	0	0	1	0	5	0	3	0	2	0	0	0	1	0
AC002985.1	3	0	3	6	1	1	2	4	0	1	1	0	0	6
AC002996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	7	0	0	3	0	0	0	0	4
AC003001.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003002.2	4	0	0	0	3	4	0	1	13	0	8	0	0	0
AC003002.3	1	0	0	0	0	1	1	0	1	0	3	0	0	1
AC003005.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC003005.2	10	0	1	12	12	0	8	1	3	0	5	5	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.1	1	0	0	0	10	0	0	7	0	0	0	0	0	0
AC003035.2	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AC003043.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.2	0	0	0	0	0	0	1	0	1	4	0	0	0	0
AC003043.3	44	1	11	2	2	1	1	2	7	2	20	1	1	5
