gene,type
GDF6,growth_factors_&_receptors
gdf7,growth_factors_&_receptors
GDF7,cytokin/chemokine_&_receptors
GDF7,growth_factors_&_receptors
GDF8,growth_factors_&_receptors
GDF9,cytokin/chemokine_&_receptors
GDF9,growth_factors_&_receptors
GDNF,growth_factors_&_receptors
GFER,growth_factors_&_receptors
GH1,growth_factors_&_receptors
GH1,cytokin/chemokine_&_receptors
GH1,hormones_&_receptors
GH2,growth_factors_&_receptors
GH2,cytokin/chemokine_&_receptors
GH2,hormones_&_receptors
GHB1,hormones_&_receptors
GHB2,hormones_&_receptors
GHB3,hormones_&_receptors
GHB4,hormones_&_receptors
GHR,cytokin/chemokine_&_receptors
GHR,growth_factors_&_receptors
GHR,hormones_&_receptors
GHRH,hormones_&_receptors
GHRHR,growth_factors_&_receptors
GHRHR,hormones_&_receptors
GHRL,hormones_&_receptors
GHSR,hormones_&_receptors
GIP,hormones_&_receptors
GIPR,hormones_&_receptors
GKN1,growth_factors_&_receptors
GLG1,growth_factors_&_receptors
GLMN,growth_factors_&_receptors
GLP1R,hormones_&_receptors
GLP2R,hormones_&_receptors
GMFB,growth_factors_&_receptors
GMFG,growth_factors_&_receptors
GNAO1,hormones_&_receptors
GNAS,hormones_&_receptors
GNRH1,hormones_&_receptors
GNRH2,hormones_&_receptors
GPB5,hormones_&_receptors
GPC1,growth_factors_&_receptors
GPER1,hormones_&_receptors
GPHA2,hormones_&_receptors
GPHB5,hormones_&_receptors
GPI,growth_factors_&_receptors
GRAP,growth_factors_&_receptors
GRB2,growth_factors_&_receptors
GREM1,growth_factors_&_receptors
GRN,growth_factors_&_receptors
GRP,hormones_&_receptors
GUCA2A,hormones_&_receptors
GUCY2C,hormones_&_receptors
H9C875,growth_factors_&_receptors
HAMP,hormones_&_receptors
HAP1,growth_factors_&_receptors
HAX1,growth_factors_&_receptors
HBEGF,growth_factors_&_receptors
hCG_2045882,growth_factors_&_receptors
HCRT,hormones_&_receptors
HCRTR1,hormones_&_receptors
HCRTR2,hormones_&_receptors
HDGF,growth_factors_&_receptors
HDGFL3,growth_factors_&_receptors
HEL-S-99n,hormones_&_receptors
HGF,growth_factors_&_receptors
HIP1,growth_factors_&_receptors
HTRA1,growth_factors_&_receptors
HYAL2,growth_factors_&_receptors
IAPP,hormones_&_receptors
IDE,hormones_&_receptors
IFNA1,cytokin/chemokine_&_receptors
IFNA10,cytokin/chemokine_&_receptors
IFNA13,cytokin/chemokine_&_receptors
IFNA14,cytokin/chemokine_&_receptors
IFNA16,cytokin/chemokine_&_receptors
IFNA17,cytokin/chemokine_&_receptors
IFNA2,cytokin/chemokine_&_receptors
IFNA21,cytokin/chemokine_&_receptors
IFNA4,cytokin/chemokine_&_receptors
IFNA5,cytokin/chemokine_&_receptors
IFNA6,cytokin/chemokine_&_receptors
IFNA7,cytokin/chemokine_&_receptors
IFNA8,cytokin/chemokine_&_receptors
IFNAR1,cytokin/chemokine_&_receptors
IFNAR2,cytokin/chemokine_&_receptors
IFNB1,cytokin/chemokine_&_receptors
IFNE,cytokin/chemokine_&_receptors
IFNG,cytokin/chemokine_&_receptors
IFNGR1,cytokin/chemokine_&_receptors
IFNGR2,cytokin/chemokine_&_receptors
IFNK,cytokin/chemokine_&_receptors
IFNL1,cytokin/chemokine_&_receptors
IFNL2,cytokin/chemokine_&_receptors
IFNL3,cytokin/chemokine_&_receptors
IFNLR1,cytokin/chemokine_&_receptors
IFNW1,cytokin/chemokine_&_receptors
IGF-I,growth_factors_&_receptors
IGF-I,hormones_&_receptors
IGF1,hormones_&_receptors
IGF1,growth_factors_&_receptors
IGF1R,growth_factors_&_receptors
IGF1R,hormones_&_receptors
IGF2,growth_factors_&_receptors
IGF2,hormones_&_receptors
IGF2R,growth_factors_&_receptors
IGFALS,growth_factors_&_receptors
IGFBP1,growth_factors_&_receptors
IGFBP2,growth_factors_&_receptors
IGFBP3,growth_factors_&_receptors
IGFBP4,growth_factors_&_receptors
IGFBP5,growth_factors_&_receptors
IGFBP6,growth_factors_&_receptors
IGFBP7,growth_factors_&_receptors
IGFBPL1,growth_factors_&_receptors
IL-2,growth_factors_&_receptors
IL10,growth_factors_&_receptors
IL10,cytokin/chemokine_&_receptors
IL10RA,cytokin/chemokine_&_receptors
IL10RA,growth_factors_&_receptors
IL10RB,cytokin/chemokine_&_receptors
IL11,growth_factors_&_receptors
IL11,cytokin/chemokine_&_receptors
IL11RA,cytokin/chemokine_&_receptors
IL11RA,growth_factors_&_receptors
IL12A,growth_factors_&_receptors
IL12A,cytokin/chemokine_&_receptors
IL12B,growth_factors_&_receptors
IL12B,cytokin/chemokine_&_receptors
IL12RB1,growth_factors_&_receptors
IL12RB1,cytokin/chemokine_&_receptors
IL12RB2,cytokin/chemokine_&_receptors
IL13,cytokin/chemokine_&_receptors
IL13RA1,cytokin/chemokine_&_receptors
IL13RA2,cytokin/chemokine_&_receptors
IL15,cytokin/chemokine_&_receptors
IL15RA,cytokin/chemokine_&_receptors
IL16,cytokin/chemokine_&_receptors
IL17A,cytokin/chemokine_&_receptors
IL17B,cytokin/chemokine_&_receptors
IL17C,cytokin/chemokine_&_receptors
IL17D,cytokin/chemokine_&_receptors
